Sequence Feature > Primary DBID	Sequence Feature > Secondary Identifier	Sequence Feature > Standard Name	Sequence Feature > Sgd Alias	Sequence Feature > Description	Sequence Feature > Feature Type
S000004884	YMR271C	URA10	orotate phosphoribosyltransferase URA10	Minor orotate phosphoribosyltransferase (OPRTase) isozyme; catalyzes the fifth enzymatic step in the de novo biosynthesis of pyrimidines, converting orotate into orotidine-5'-phosphate; URA10 has a paralog, URA5, that arose from the whole genome duplication	ORF
S000004250	YLR260W	LCB5	sphinganine kinase LCB5	Minor sphingoid long-chain base kinase; possibly involved in synthesis of long-chain base phosphates, which function as signaling molecules; LCB5 has a paralog, LCB4, that arose from the whole genome duplication	ORF
S000003581	YJL045W	""	succinate dehydrogenase SDH1b SDH1b	Minor succinate dehydrogenase isozyme; participates in oxidation of succinate and transfer of electrons to ubiquinone; induced during the diauxic shift in a Cat8p-dependent manner; YJL045W has a paralog, SDH1, that arose from the whole genome duplication	ORF
S000006345	YPR141C	KAR3	OSR11	Minus-end-directed microtubule motor; functions in mitosis and meiosis, localizes to the spindle pole body and localization is dependent on functional Cik1p, required for nuclear fusion during mating; potential Cdc28p substrate	ORF
S000000688	YCR092C	MSH3	mismatch repair protein MSH3	Mismatch repair protein; forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends, contains a PCNA (Pol30p) binding motif required for genome stability	ORF
S000002627	YDR219C	MFB1	""	Mitochondria-associated F-box protein; involved in maintenance of normal mitochondrial morphology; interacts with Skp1p through the F-box motif; preferentially localizes to the mother cell during budding	ORF
S000003382	YGR150C	CCM1	RRG2 DMR1	Mitochondrial 15S rRNA-binding protein; required for intron removal of COB and COX1 pre-mRNAs; has separable roles in stabilizing mitochondrial 15S rRNA and in maturation of the COB and COX1 mRNAs; contains pentatricopeptide repeat (PPR) motifs; mutant is respiratory deficient and has defective plasma membrane electron transport	ORF
S000007288	Q0158	21S_RRNA	21S_rRNA_3 21S_rRNA_4	Mitochondrial 21S rRNA; intron encodes the I-SceI DNA endonuclease	rRNA_gene
S000003104	YGL136C	MRM2	21S rRNA (uridine2791-2'-O) methyltransferase	Mitochondrial 2' O-ribose methyltransferase; required for methylation of U(2791) in 21S rRNA; MRM2 deletion confers thermosensitive respiration and loss of mitochondrial DNA; has similarity to Spb1p and Trm7p, and to E. coli FtsJ/RrmJ	ORF
S000001109	YHR067W	HTD2	hydroxyacyl-thioester dehydratase HTD2 RMD12	Mitochondrial 3-hydroxyacyl-thioester dehydratase; involved in fatty acid biosynthesis, required for respiratory growth and for normal mitochondrial morphology	ORF
S000001538	YKL055C	OAR1	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)	Mitochondrial 3-oxoacyl-[acyl-carrier-protein] reductase; may comprise a type II mitochondrial fatty acid synthase along with Mct1p; human homolog CBR4 complements yeast null mutant	ORF
S000000367	YBR163W	EXO5	DEM1	Mitochondrial 5'-3' exonuclease and sliding exonuclease; required for mitochondrial genome maintenance; distantly related to the RecB nuclease domain of bacterial RecBCD recombinases; may be regulated by the transcription factor Ace2	ORF
S000004820	YMR207C	HFA1	acetyl-CoA carboxylase HFA1	Mitochondrial acetyl-coenzyme A carboxylase; catalyzes production of malonyl-CoA in mitochondrial fatty acid biosynthesis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress; genetic and comparative analysis suggests that translation begins at a non-canonical (Ile) start codon at -372 relative to the annotated start codon	ORF
S000000972	YER170W	ADK2	adenylate kinase ADK2 AKY3 PAK3	Mitochondrial adenylate kinase; catalyzes the reversible synthesis of GTP and AMP from GDP and ADP; may serve as a back-up for synthesizing GTP or ADP depending on metabolic conditions; 3' sequence of ADK2 varies with strain background	ORF
S000007315	tA(UGC)Q	""	""	Mitochondrial alanine tRNA (tRNA-Ala); predicted by tRNAscan-SE analysis	tRNA_gene
S000004688	YMR083W	ADH3	alcohol dehydrogenase ADH3	Mitochondrial alcohol dehydrogenase isozyme III; involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production	ORF
S000000875	YER073W	ALD5	aldehyde dehydrogenase (NAD(P)(+)) ALD5	Mitochondrial aldehyde dehydrogenase; involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed	ORF
S000005901	YOR374W	ALD4	aldehyde dehydrogenase (NADP(+)) ALD4 ALD7 ALDH2	Mitochondrial aldehyde dehydrogenase; required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed; can substitute for cytosolic NADP-dependent aldehyde dehydrogenase when directed to the cytosol; human homolog ALDH2 can complement yeast ald4 mutant	ORF
S000006225	YPR021C	AGC1	amino acid transporter AGC1	Mitochondrial amino acid transporter; acts both as a glutamate uniporter and as an aspartate-glutamate exchanger; involved in nitrogen metabolism and nitrogen compound biosynthesis; human homolog SLC25A13 complements yeast null mutant	ORF
S000000880	YER078C	ICP55	aminopeptidase	Mitochondrial aminopeptidase; cleaves the N termini of at least 38 imported proteins after cleavage by the mitochondrial processing peptidase (MPP), thereby increasing their stability; member of the aminopeptidase P family	ORF
S000003326	YGR094W	VAS1	valine--tRNA ligase	Mitochondrial and cytoplasmic valyl-tRNA synthetase; human homolog VARS2 implicated in mitochondrial diseases, can partially complement yeast null mutant	ORF
S000007330	tR(ACG)Q2	""	""	Mitochondrial arginine tRNA (tRNA-Arg); predicted by tRNAscan-SE analysis	tRNA_gene
S000007331	tR(UCU)Q1	""	""	Mitochondrial arginine tRNA (tRNA-Arg); predicted by tRNAscan-SE analysis	tRNA_gene
S000001133	YHR091C	MSR1	arginine--tRNA ligase MSR1	Mitochondrial arginyl-tRNA synthetase; mutations in human ortholog are associated with pontocerebellar hypoplasia type 6; MSR1 has a paralog, YDR341C, that arose from the whole genome duplication	ORF
S000007327	tN(GUU)Q	""	""	Mitochondrial asparagine tRNA (tRNA-Asn); predicted by tRNAscan-SE analysis	tRNA_gene
S000000618	YCR024C	SLM5	asparagine--tRNA ligase SLM5	Mitochondrial asparaginyl-tRNA synthetase	ORF
S000001589	YKL106W	AAT1	aspartate transaminase AAT1	Mitochondrial aspartate aminotransferase; catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis	ORF
S000007317	tD(GUC)Q	""	""	Mitochondrial aspartate tRNA (tRNA-Asp); predicted by tRNAscan-SE analysis	tRNA_gene
S000006025	YPL104W	MSD1	LPG5 aspartate--tRNA ligase MSD1	Mitochondrial aspartyl-tRNA synthetase; required for acylation of aspartyl-tRNA; yeast and bacterial aspartyl-, asparaginyl-, and lysyl-tRNA synthetases contain regions with high sequence similarity, suggesting a common ancestral gene	ORF
S000003032	YGL064C	MRH4	ATP-dependent RNA helicase	Mitochondrial ATP-dependent RNA helicase of the DEAD-box family; required for assembly of the large subunit of mitochondrial ribosomes; binds to the large subunit rRNA, 21S_rRNA; localizes to the matrix face of the mitochondrial inner membrane and associates with the large subunit precursor and with mature ribosomes	ORF
S000000863	YER061C	CEM1	fatty acid synthase CEM1	Mitochondrial beta-keto-acyl synthase; possible role in fatty acid synthesis; required for mitochondrial respiration; human homolog OXSM can complement yeast cem1 null mutant	ORF
S000001251	YHR208W	BAT1	ECA39 TWT1 branched-chain-amino-acid transaminase BAT1	Mitochondrial branched-chain amino acid (BCAA) aminotransferase; preferentially involved in BCAA biosynthesis; homolog of murine ECA39; highly expressed during logarithmic phase and repressed during stationary phase; BAT1 has a paralog, BAT2, that arose from the whole genome duplication	ORF
S000000288	YBR084W	MIS1	trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1	Mitochondrial C1-tetrahydrofolate synthase; involved in interconversion between different oxidation states of tetrahydrofolate (THF); provides activities of formyl-THF synthetase, methenyl-THF cyclohydrolase, and methylene-THF dehydrogenase	ORF
S000003342	YGR110W	CLD1	carboxylic ester hydrolase	Mitochondrial cardiolipin-specific phospholipase; functions upstream of Taz1p to generate monolyso-cardiolipin; transcription increases upon genotoxic stress; involved in restricting Ty1 transposition; has homology to mammalian CGI-58	ORF
S000001044	YHR002W	LEU5	coenzyme A transporter	Mitochondrial carrier protein; involved in the accumulation of CoA in the mitochondrial matrix; homolog of human Graves disease protein SLC25A16, which complements yeast null mutant; does not encode an isozyme of Leu4p, as first hypothesized	ORF
S000005357	YNR074C	AIF1	CPD1	Mitochondrial cell death effector; translocates to the nucleus in response to apoptotic stimuli, homolog of mammalian Apoptosis-Inducing Factor, putative reductase	ORF
S000003187	YGL219C	MDM34	ERMES complex subunit MDM34 MMM2	Mitochondrial component of the ERMES complex; links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; required for mitophagy; ERMES complex is often co-localized with peroxisomes and with concentrated areas of pyruvate dehydrogenase	ORF
S000000855	YER053C	PIC2	Cu/Pi carrier	Mitochondrial copper and phosphate carrier; imports copper and inorganic phosphate into mitochondria; functionally redundant with Mir1p but less abundant than Mir1p under normal conditions; expression is induced at high temperature	ORF
S000001494	YKL011C	CCE1	MGT1 cruciform cutting endonuclease	Mitochondrial cruciform cutting endonuclease; cleaves Holliday junctions formed during recombination of mitochondrial DNA; CCE1 has a paralog, MRS1, that arose from the whole genome duplication	ORF
S000007316	tC(GCA)Q	""	""	Mitochondrial cysteine tRNA (tRNA-Cys)	tRNA_gene
S000004598	YML129C	COX14	""	Mitochondrial cytochrome c oxidase (complex IV) assembly factor; also involved in translational regulation of Cox1p and prevention of Cox1p aggregation before assembly; associates with complex IV assembly intermediates and complex III/complex IV supercomplexes; located in the mitochondrial membrane	ORF
S000001774	YKR066C	CCP1	cytochrome-c peroxidase	Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria, involved in the response to oxidative stress	ORF
S000004340	YLR348C	DIC1	""	Mitochondrial dicarboxylate carrier; integral membrane protein, catalyzes a dicarboxylate-phosphate exchange across the inner mitochondrial membrane, transports cytoplasmic dicarboxylates into the mitochondrial matrix	ORF
S000004676	YMR072W	ABF2	DNA-binding protein ABF2 p19 HM mtTFA	Mitochondrial DNA-binding protein; involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be regulated by protein kinase A phosphorylation; ABF2 has a paralog, IXR1, that arose from the whole genome duplication; human homolog TFAM can complement yeast abf2 mutant, rescuing the loss-of-mitochondrial DNA phenotype in a yeast abf2 strain	ORF
S000005857	YOR330C	MIP1	DNA-directed DNA polymerase gamma MIP1	Mitochondrial DNA polymerase gamma; single subunit of mitochondrial DNA polymerase in yeast, in contrast to metazoan complex of catalytic and accessory subunits; polymorphic in yeast, petites occur more frequently in some lab strains; human ortholog POLG complements yeast mip1 mutant; mutations in human POLG associated with Alpers-Huttenlocher syndrome (AHS), progressive external ophthalmoplegia (PEO), parkinsonism, other mitochondrial diseases	ORF
S000003638	YJL102W	MEF2	""	Mitochondrial elongation factor involved in translational elongation	ORF
S000004059	YLR069C	MEF1	""	Mitochondrial elongation factor involved in translational elongation	ORF
S000002243	YDL085W	NDE2	NDH2 NADH-ubiquinone reductase (H(+)-translocating) NDE2	Mitochondrial external NADH dehydrogenase; catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p are involved in providing the cytosolic NADH to the mitochondrial respiratory chain; NDE2 has a paralog, NDE1, that arose from the whole genome duplication	ORF
S000004753	YMR145C	NDE1	NDH1 NADH-ubiquinone reductase (H(+)-translocating) NDE1	Mitochondrial external NADH dehydrogenase; type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain; NDE1 has a paralog, NDE2, that arose from the whole genome duplication	ORF
S000001396	YIL134W	FLX1	flavin adenine dinucleotide transporter FLX1	Mitochondrial flavin adenine dinucleotide transporter; FAD is a synthesis product of riboflavin; human homolog SLC25A32 is implicated in multiple acyl-CoA dehydrogenase deficiency (MADD) or glutaric aciduria type II (GAII), and can complement yeast null mutant	ORF
S000007326	tM(CAU)Q2	""	""	Mitochondrial formylated methionine tRNA (tRNA-fMet); predicted by tRNAscan-SE analysis	tRNA_gene
S000007318	tE(UUC)Q	""	""	Mitochondrial glutamate tRNA (tRNA-Glu); predicted by tRNAscan-SE analysis	tRNA_gene
S000007329	tQ(UUG)Q	""	""	Mitochondrial glutamine tRNA (tRNA-Gln); predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p	tRNA_gene
S000005393	YOL033W	MSE1	glutamate--tRNA ligase MSE1	Mitochondrial glutamyl-tRNA synthetase; predicted to be palmitoylated	ORF
S000001417	YIL155C	GUT2	glycerol-3-phosphate dehydrogenase	Mitochondrial glycerol-3-phosphate dehydrogenase; expression is repressed by both glucose and cAMP and derepressed by non-fermentable carbon sources in a Snf1p, Rsf1p, Hap2/3/4/5 complex dependent manner	ORF
S000002277	YDL119C	HEM25	""	Mitochondrial glycine transporter; required for the transport of glycine into mitochondria for initiation of heme biosynthesis, with YMC1 acting as a secondary transporter; homolog of human SLC25A38, a mitochondrial glycine transporter associated with nonsyndromic autosomal recessive congenital sideroblastic anemia; human SLC25A38 can complement the heme deficiency associated with the null mutant; GFP-fusion protein is induced in response to the DNA-damaging agent MMS	ORF
S000007320	tG(UCC)Q	""	""	Mitochondrial glycine tRNA (tRNA-Gly); predicted by tRNAscan-SE analysis	tRNA_gene
S000005566	YOR040W	GLO4	hydroxyacylglutathione hydrolase GLO4	Mitochondrial glyoxalase II; catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate; GLO4 has a paralog, GLO2, that arose from the whole genome duplication	ORF
S000005737	YOR211C	MGM1	MNA1 dynamin-related GTPase MGM1	Mitochondrial GTPase, present in complex with Ugo1p and Fzo1p; required for mitochondrial morphology, fusion, and genome maintenance; promotes membrane bending; exists as long and short form with different distributions; ratio of long to short forms is regulated by Psd1p; homolog of human OPA1 involved in autosomal dominant optic atrophy	ORF
S000002357	YDL198C	GGC1	YHM1 SHM1	Mitochondrial GTP/GDP transporter; essential for mitochondrial genome maintenance; has a role in mitochondrial iron transport; member of the mitochondrial carrier family	ORF
S000007321	tH(GUG)Q	""	""	Mitochondrial histidine tRNA (tRNA-His); predicted by tRNAscan-SE analysis	tRNA_gene
S000004361	YLR369W	SSQ1	SSH1 Hsp70 family ATPase SSQ1 SSC2	Mitochondrial hsp70-type molecular chaperone; required for assembly of iron/sulfur clusters into proteins at a step after cluster synthesis, and for maturation of Yfh1p, which is a homolog of human frataxin implicated in Friedreich's ataxia	ORF
S000000289	YBR085W	AAC3	ANC3 ADP/ATP carrier protein AAC3	Mitochondrial inner membrane ADP/ATP translocator; exchanges cytosolic ADP for mitochondrially synthesized ATP; expressed under anaerobic conditions; similar to Aac1p; has roles in maintenance of viability and in respiration; AAC3 has a paralog, PET9, that arose from the whole genome duplication	ORF
S000004660	YMR056C	AAC1	ADP/ATP carrier protein AAC1	Mitochondrial inner membrane ADP/ATP translocator; exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; Aac1p is a minor isoform while Pet9p is the major ADP/ATP translocator; relocalizes from mitochondrion to cytoplasm upon DNA replication stress	ORF
S000004916	YMR301C	ATM1	ATP-binding cassette Fe/S cluster precursor transporter ATM1	Mitochondrial inner membrane ATP-binding cassette (ABC) transporter; exports mitochondrially synthesized precursors of iron-sulfur (Fe/S) clusters to the cytosol; human homolog ABCB7 can complement yeast null mutant	ORF
S000005626	YOR100C	CRC1	carnitine:acyl carnitine antiporter	Mitochondrial inner membrane carnitine transporter; required for carnitine-dependent transport of acetyl-CoA from peroxisomes to mitochondria during fatty acid beta-oxidation; human homolog SLC25A20 complements yeast null mutant	ORF
S000000495	YBR291C	CTP1	""	Mitochondrial inner membrane citrate transporter; member of the mitochondrial carrier family	ORF
S000004178	YLR188W	MDL1	ATP-binding cassette permease MDL1	Mitochondrial inner membrane half-type ABC transporter; mediates export of peptides generated upon proteolysis of mitochondrial proteins; plays a role in the regulation of cellular resistance to oxidative stress	ORF
S000006191	YPL270W	MDL2	ATP-binding cassette permease MDL2	Mitochondrial inner membrane half-type ABC transporter; required for respiratory growth at high temperature; localizes to vacuole membrane in response to H2O2; similar to human TAP1 and TAP2 implicated in bare lymphocyte syndrome and Wegener-like granulomatosis	ORF
S000000956	YER154W	OXA1	PET1402 membrane insertase OXA1	Mitochondrial inner membrane insertase; mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane; also has a role in insertion of carrier proteins into the inner membrane; acts as a voltage-gated ion channel, activated by substrate peptides; interacts with mitochondrial ribosomes; conserved from bacteria to animals	ORF
S000005455	YOL095C	HMI1	ATP-dependent 3'-5' DNA helicase	Mitochondrial inner membrane localized ATP-dependent DNA helicase; required for the maintenance of the mitochondrial genome; not required for mitochondrial transcription; has homology to E. coli helicase uvrD	ORF
S000000819	YER017C	AFG3	YTA10 AAA family ATPase AFG3	Mitochondrial inner membrane m-AAA protease component; mediates degradation of misfolded or unassembled proteins; also required for correct assembly of mitochondrial enzyme complexes; involved in cytoplasmic mRNA translation and aging; expression of human homolog AFG3L2 can complement yeast yta12 afg3 double mutant	ORF
S000004695	YMR089C	YTA12	RCA1 m-AAA protease subunit YTA12	Mitochondrial inner membrane m-AAA protease component; mediates degradation of misfolded or unassembled proteins; also required for correct assembly of mitochondrial enzyme complexes; overexpression of human AFG3L2 complements respiratory defect of yeast afg3 yta12 double null mutation, but overexpression of disease-associated AFG3L2 variants does not; expression of both human SPG7 (paraplegin) and AFG3L2 complements yeast yta12 afg3 double mutation	ORF
S000005981	YPL060W	MFM1	LPE10	Mitochondrial inner membrane magnesium transporter; involved in maintenance of mitochondrial magnesium concentrations and membrane potential; indirectly affects splicing of group II introns; functionally and structurally related to Mrs2p	ORF
S000005861	YOR334W	MRS2	""	Mitochondrial inner membrane Mg(2+) channel; required for maintenance of intramitochondrial Mg(2+) concentrations at the correct level to support splicing of group II introns; similar to bacterial CorA	ORF
S000003454	YGR222W	PET54	""	Mitochondrial inner membrane protein; binds to the 5' UTR of the COX3 mRNA to activate its translation together with Pet122p and Pet494p; also binds to the COX1 Group I intron AI5 beta to facilitate exon ligation during splicing	ORF
S000006329	YPR125W	YLH47	MRS7	Mitochondrial inner membrane protein; exposed to the mitochondrial matrix; associates with mitochondrial ribosomes; NOT required for respiratory growth; homolog of human Letm1, a protein implicated in Wolf-Hirschhorn syndrome	ORF
S000002690	YDR282C	MRX10	""	Mitochondrial inner membrane protein of unknown function; associates with mitochondrial ribosome; localizes to the inner membrane with the C terminus facing the intermembrane space; ortholog of human RMND1, mutation in which is implicated in infantile encephaloneuromyopathy and defective mitochondrial translation	ORF
S000004194	YLR204W	QRI5	COX24	Mitochondrial inner membrane protein; required for accumulation of spliced COX1 mRNA; may have an additional role in translation of COX1 mRNA	ORF
S000003540	YJL003W	COX16	""	Mitochondrial inner membrane protein; required for assembly of cytochrome c oxidase	ORF
S000001419	YIL157C	COA1	FMP35	Mitochondrial inner membrane protein; required for assembly of the cytochrome c oxidase complex (complex IV); interacts with complex IV assembly factor Shy1p during the early stages of assembly	ORF
S000003344	YGR112W	SHY1	""	Mitochondrial inner membrane protein required for complex IV assembly; associates with complex IV assembly intermediates and complex III/complex IV supercomplexes; similar to human SURF1 involved in Leigh Syndrome; complex IV is also known as cytochrome c oxidase	ORF
S000002639	YDR231C	COX20	""	Mitochondrial inner membrane protein; required for proteolytic processing of Cox2p and its assembly into cytochrome c oxidase	ORF
S000001750	YKR042W	UTH1	SUN family protein UTH1	Mitochondrial inner membrane protein; role in mitophagy is disputed; implicated in cell wall biogenesis, the oxidative stress response, life span during starvation, and cell death; SUN family member; UTH1 has a paralog, NCA3, that arose from the whole genome duplication	ORF
S000005673	YOR147W	MDM32	""	Mitochondrial inner membrane protein with similarity to Mdm31p; required for normal mitochondrial morphology and inheritance; interacts genetically with MMM1, MDM10, MDM12, and MDM34; variation between SK1 and S288C at residues 182 and 262 impacts invasive growth and mitochondrial network structure	ORF
S000006055	YPL134C	ODC1	mitochondrial 2-oxodicarboxylate carrier	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication	ORF
S000005748	YOR222W	ODC2	mitochondrial 2-oxodicarboxylate carrier	Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for use in lysine and glutamate biosynthesis and in lysine catabolism; ODC2 has a paralog, ODC1, that arose from the whole genome duplication	ORF
S000001603	YKL120W	OAC1	""	Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family	ORF
S000004880	YMR267W	PPA2	IPP2 inorganic diphosphatase PPA2	Mitochondrial inorganic pyrophosphatase; required for mitochondrial function and possibly involved in energy generation from inorganic pyrophosphate	ORF
S000005792	YOR266W	PNT1	""	Mitochondrial integral inner membrane protein; involved in membrane insertion of C-terminus of Cox2p, interacts genetically and physically with Cox18p; deletion mutant sensitive to the anti-Pneumocystis carinii drug pentamidine	ORF
S000001617	YKL134C	OCT1	metalloendopeptidase	Mitochondrial intermediate peptidase; cleaves destabilizing N-terminal residues of a subset of proteins upon import, after their cleavage by mitochondrial processing peptidase (Mas1p-Mas2p); may contribute to mitochondrial iron homeostasis	ORF
S000007348	YJR135W-A	TIM8	protein transporter TIM8	Mitochondrial intermembrane space protein; forms a complex with Tim13p that delivers a subset of hydrophobic proteins to the TIM22 complex for inner membrane insertion; homolog of human TIMM8A, implicated in Mohr-Tranebjaerg syndrome, also known as deafness-dystonia-optic neuronopathy (DDON) syndrome; human TIMM8A can complement yeast null mutant	ORF
S000003413	YGR181W	TIM13	protein translocase subunit TIM13	Mitochondrial intermembrane space protein; forms a complex with Tim8p that delivers a subset of hydrophobic proteins to the TIM22 complex for insertion into the inner membrane	ORF
S000004158	YLR168C	UPS2	MSF1 MSF1' AIM30 GEP1	Mitochondrial intermembrane space protein; involved in phospholipid metabolism; has role in regulation of phospholipid metabolism by inhibiting conversion of phosphatidylethanolamine to phosphatidylcholine; null mutant has defects in mitochondrial morphology; similar to Ups1p, Ups3p and to human PRELI; UPS2 has a paralog, UPS3, that arose from the whole genome duplication	ORF
S000007243	YKL053C-A	MDM35	""	Mitochondrial intermembrane space protein; mutation affects mitochondrial distribution and morphology; contains twin cysteine-x9-cysteine motifs; protein abundance increases in response to DNA replication stress	ORF
S000003602	YJL066C	MPM1	""	Mitochondrial intermembrane space protein of unknown function	ORF
S000000203	YBL107C	MIX23	MIC23	Mitochondrial intermembrane space protein of unknown function; imported via the MIA import machinery; contains an unusual twin cysteine motif (CX13C CX14C)	ORF
S000002438	YDR031W	MIX14	MIC14	Mitochondrial intermembrane space protein of unknown function; required for normal oxygen consumption; contains twin cysteine-x9-cysteine motifs; protein abundance increases in response to DNA replication stress	ORF
S000004604	YMR002W	MIX17	MIC17	Mitochondrial intermembrane space protein; required for normal oxygen consumption; contains twin cysteine-x9-cysteine motifs; protein abundance increases in response to DNA replication stress	ORF
S000007322	tI(GAU)Q	""	""	Mitochondrial isoleucine tRNA (tRNA-Ile); predicted by tRNAscan-SE analysis; mutations in human ortholog are linked to conditions such as progressive encephalopathy, metabolic syndrome, and hypomagnesaemia	tRNA_gene
S000005961	YPL040C	ISM1	isoleucine--tRNA ligase ISM1	Mitochondrial isoleucyl-tRNA synthetase; null mutant is deficient in respiratory growth; human homolog IARS2 implicated in mitochondrial diseases, can partially complement yeast null mutant	ORF
S000007324	tL(UAA)Q	""	""	Mitochondrial leucine tRNA (tRNA-Leu); predicted by tRNAscan-SE analysis; required for mitochondrial translation and indirectly for maintenance of the mitochondrial genome; mutations in the orthologous human gene cause the neurological disease MELAS	tRNA_gene
S000004374	YLR382C	NAM2	leucine--tRNA ligase NAM2 MSL1 LeuRS	Mitochondrial leucyl-tRNA synthetase; also has direct role in splicing of several mitochondrial group I introns; indirectly required for mitochondrial genome maintenance; human homolog LARS2 can complement yeast null mutant, and is implicated in Perrault syndrome	ORF
S000029698	ENS2	ENS2	Endo.SceI RF3	Mitochondrially-encoded 50 kD subunit of Endo.SceI; a dimeric multi-site-specific endonuclease that introduces double-stranded breaks at a number of well-defined sites on the mitochondrial DNA, inducing homologous recombination	not in systematic sequence of S288C
S000005017	YNL073W	MSK1	lysine--tRNA ligase MSK1	Mitochondrial lysine-tRNA synthetase; required for import of both aminoacylated and deacylated forms of tRNA(Lys) into mitochondria and for aminoacylation of mitochondrially encoded tRNA(Lys)	ORF
S000007323	tK(UUU)Q	""	""	Mitochondrial lysine tRNA (tRNA-Lys); predicted by tRNAscan-SE analysis; modification of wobble base U34 is decreased at elevated temperatures, decreasing ability to decode AAG codons; this function is performed at high temperature by imported cytoplasmic tRNA-Lys with CUU anticodon	tRNA_gene
S000001568	YKL085W	MDH1	malate dehydrogenase MDH1	Mitochondrial malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the tricarboxylic acid (TCA) cycle; phosphorylated	ORF
S000001512	YKL029C	MAE1	malate dehydrogenase (oxaloacetate-decarboxylating)	Mitochondrial malic enzyme; catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids	ORF
S000001050	YHR008C	SOD2	superoxide dismutase SOD2	Mitochondrial manganese superoxide dismutase; protects cells against oxygen toxicity	ORF
S000001675	YKL192C	ACP1	acyl carrier protein	Mitochondrial matrix acyl carrier protein; involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p	ORF
S000005758	YOR232W	MGE1	GRPE YGE1	Mitochondrial matrix cochaperone; nucleotide release factor for Ssc1p in protein translocation and folding; also acts as cochaperone for Ssq1p in folding of Fe-S cluster proteins; acts as oxidative sensor to regulate mitochondrial Ssc1p; in presence of oxidative stress, dimeric Mge1p becomes a monomer and unable to regulate Ssc1p function; homolog of E. coli GrpE and human Mge1 (GRPEL1), which also responds to oxidative stress	ORF
S000005546	YOR020C	HSP10	CPN10	Mitochondrial matrix co-chaperonin; inhibits the ATPase activity of Hsp60p, a mitochondrial chaperonin; involved in protein folding and sorting in the mitochondria; 10 kD heat shock protein with similarity to E. coli groES	ORF
S000004280	YLR289W	GUF1	GTPase GUF1	Mitochondrial matrix GTPase; associates with mitochondrial ribosomes; important for translation under temperature and nutrient stress; may have a role in translational fidelity; similar to bacterial LepA elongation factor	ORF
S000002278	YDL120W	YFH1	ferroxidase	Mitochondrial matrix iron chaperone; oxidizes and stores iron; interacts with Isu1p to promote Fe-S cluster assembly; mutation results in multiple Fe/S-dependent enzyme deficiencies; human frataxin homolog FXN is mutated in Friedrich's ataxia; human FTL gene can complement yeast yfh1 null mutant	ORF
S000001360	YIL098C	FMC1	""	Mitochondrial matrix protein; required for assembly or stability at high temperature of the F1 sector of mitochondrial F1F0 ATP synthase; null mutant temperature sensitive growth on glycerol is suppressed by multicopy expression of Odc1p	ORF
S000004129	YLR139C	SLS1	""	Mitochondrial membrane protein; coordinates expression of mitochondrially-encoded genes; may facilitate delivery of mRNA to membrane-bound translation machinery	ORF
S000000442	YBR238C	""	""	Mitochondrial membrane protein; not required for respiratory growth but causes a synthetic respiratory defect in combination with rmd9 mutations; transcriptionally up-regulated by TOR; deletion increases life span; YBR238C has a paralog, RMD9, that arose from the whole genome duplication	ORF
