Gene > Secondary Identifier	Gene > Symbol	Gene > DB identifier	Gene > Organism Name	Gene > Cytological Location	Gene > Name	Gene > Description
CG32626	AMPdeam	FBgn0052626	Drosophila melanogaster	12C6-12C7	AMP deaminase	""
CG32631	CG32631	FBgn0052631	Drosophila melanogaster	12A4-12A4	""	""
CG32632	Tango13	FBgn0086674	Drosophila melanogaster	12A6-12A7	Transport and Golgi organization 13	""
CG32633	CG32633	FBgn0052633	Drosophila melanogaster	12A4-12A4	""	""
CG32638	CG32638	FBgn0052638	Drosophila melanogaster	11E1-11E1	""	""
CG32639	CG32639	FBgn0052639	Drosophila melanogaster	11E6-11E6	""	""
CG3264	CG3264	FBgn0034712	Drosophila melanogaster	58D1-58D1	""	""
CG32640	CG32640	FBgn0052640	Drosophila melanogaster	11E3-11E3	""	""
CG32641	CG32641	FBgn0052641	Drosophila melanogaster	11E3-11E3	""	""
CG32642	CG32642	FBgn0052642	Drosophila melanogaster	11D5-11D5	""	""
CG32643	CG32643	FBgn0052643	Drosophila melanogaster	11D6-11D6	""	""
CG32644	Mur11Da	FBgn0052644	Drosophila melanogaster	11D5-11D5	Mucin related 11Da	""
CG32645	CG32645	FBgn0052645	Drosophila melanogaster	11E1-11E1	""	""
CG32647	CG32647	FBgn0052647	Drosophila melanogaster	11C1-11C2	""	""
CG32649	CG32649	FBgn0052649	Drosophila melanogaster	11D1-11D1	""	""
CG3265	Eb1	FBgn0027066	Drosophila melanogaster	42C8-42C8	Eb1	""
CG32650	CG32650	FBgn0052650	Drosophila melanogaster	11D1-11D1	""	""
CG32651	CG32651	FBgn0052651	Drosophila melanogaster	11A9-11A9	""	""
CG32654	Sec16	FBgn0052654	Drosophila melanogaster	11B2-11B3	Sec16 ortholog (S. cerevisiae)	""
CG32655	CG32655	FBgn0052655	Drosophila melanogaster	11A7-11A7	""	""
CG32656	Muc11A	FBgn0052656	Drosophila melanogaster	11A2-11A3	Mucin 11A	""
CG32664	Gr10a	FBgn0045502	Drosophila melanogaster	10B10-10B10	Gustatory receptor 10a	""
CG32666	Drak	FBgn0052666	Drosophila melanogaster	10C1-10C5	Death-associated protein kinase related	""
CG32667	ssp7	FBgn0052667	Drosophila melanogaster	10A7-10A7	short spindle 7	""
CG32668	CG32668	FBgn0052668	Drosophila melanogaster	10A8-10A8	""	""
CG32669	CG32669	FBgn0052669	Drosophila melanogaster	9F5-9F5	""	""
CG3267	CG3267	FBgn0042083	Drosophila melanogaster	42C8-42C8	""	""
CG32670	Rab9Fb	FBgn0052670	Drosophila melanogaster	9F13-9F13	Rab at 9Fb	""
CG32671	Rab9Fa	FBgn0052671	Drosophila melanogaster	9F13-9F13	Rab at 9Fa	""
CG32672	Atg8a	FBgn0052672	Drosophila melanogaster	9E6-9E7	Autophagy-related 8a	""
CG32673	Rab9E	FBgn0052673	Drosophila melanogaster	9E1-9E1	Rab at 9E	""
CG32675	Tango5	FBgn0052675	Drosophila melanogaster	9E4-9E6	Transport and Golgi organization 5	""
CG32676	CG32676	FBgn0052676	Drosophila melanogaster	9E1-9E2	""	""
CG32677	X11Lbeta	FBgn0052677	Drosophila melanogaster	9E1-9E1	X11Lbeta	""
CG32678	Rab9D	FBgn0067052	Drosophila melanogaster	9D3-9D3	Rab at 9D	""
CG32679	CG32679	FBgn0052679	Drosophila melanogaster	9B12-9B12	""	""
CG3268	phtf	FBgn0028579	Drosophila melanogaster	42C7-42C7	phtf	""
CG32681	CG32681	FBgn0052681	Drosophila melanogaster	9B12-9B13	""	""
CG32683	CG32683	FBgn0052683	Drosophila melanogaster	9C1-9C4	""	""
CG32685	ZAP3	FBgn0052685	Drosophila melanogaster	9B1-9B1	""	""
CG32686	CG32686	FBgn0052686	Drosophila melanogaster	9B12-9B12	""	""
CG32687	CG32687	FBgn0052687	Drosophila melanogaster	9D2-9D2	""	""
CG3269	Rab2	FBgn0014009	Drosophila melanogaster	42C5-42C5	Rab2	""
CG32693	Gr9a	FBgn0052693	Drosophila melanogaster	9B1-9B1	Gustatory receptor 9a	""
CG32694	CG32694	FBgn0052694	Drosophila melanogaster	9A4-9A4	""	""
CG32695	CG32695	FBgn0052695	Drosophila melanogaster	9A3-9A3	""	""
CG32697	Ptpmeg2	FBgn0028341	Drosophila melanogaster	8F2-8F6	Protein tyrosine phosphatase Meg2	""
CG32698	CG32698	FBgn0052698	Drosophila melanogaster	9A2-9A2	""	""
CG32699	LPCAT	FBgn0052699	Drosophila melanogaster	8E10-8E10	Lysophosphatidylcholine acyltransferase	""
CG3270	CG3270	FBgn0033093	Drosophila melanogaster	42C3-42C5	""	""
CG32700	CG32700	FBgn0267253	Drosophila melanogaster	8E4-8E7	""	""
CG32701	l(1)G0320	FBgn0028327	Drosophila melanogaster	8E7-8E7	lethal (1) G0320	""
CG32702	Cubn	FBgn0052702	Drosophila melanogaster	8E7-8E10	Cubilin ortholog	""
CG32703	Erk7	FBgn0052703	Drosophila melanogaster	8D3-8D4	Extracellularly regulated kinase 7	""
CG32704	Ir8a	FBgn0052704	Drosophila melanogaster	8D2-8D2	Ionotropic receptor 8a	""
CG32706	CG32706	FBgn0052706	Drosophila melanogaster	8C7-8C8	""	""
CG32707	APC4	FBgn0052707	Drosophila melanogaster	8C4-8C7	Anaphase Promoting Complex subunit 4	""
CG32708	CG32708	FBgn0052708	Drosophila melanogaster	8C7-8C7	""	""
CG3271	PGAP3	FBgn0033088	Drosophila melanogaster	42C3-42C3	Post-GPI attachment to proteins 3 ortholog (H. sapiens)	""
CG32711	lawc	FBgn0262976	Drosophila melanogaster	7E6-7E7	leg arista wing complex	""
CG32712	CG32712	FBgn0052712	Drosophila melanogaster	7E9-7E9	""	""
CG32713	CG32713	FBgn0052713	Drosophila melanogaster	7E11-7E11	""	""
CG32717	sdt	FBgn0261873	Drosophila melanogaster	7D17-7D22	stardust	""
CG32718	CG32718	FBgn0052718	Drosophila melanogaster	7B8-7B8	""	""
CG32719	CG32719	FBgn0052719	Drosophila melanogaster	7B3-7B3	""	""
CG32720	CG32720	FBgn0052720	Drosophila melanogaster	7B3-7B3	""	""
CG32721	NELF-B	FBgn0027553	Drosophila melanogaster	7B7-7B7	NELF-B	""
CG32726	CG32726	FBgn0052726	Drosophila melanogaster	7B2-7B2	""	""
CG32727	CG32727	FBgn0265265	Drosophila melanogaster	7B2-7B2	""	""
CG3273	sced	FBgn0013732	Drosophila melanogaster	42C3-42C3	scrambled	""
CG32732	CG32732	FBgn0052732	Drosophila melanogaster	6E3-6E4	""	""
CG32736	CG32736	FBgn0052736	Drosophila melanogaster	6E4-6E4	""	""
CG3274	Bap170	FBgn0042085	Drosophila melanogaster	42C1-42C2	Brahma associated protein 170kD	""
CG32742	Cdc7	FBgn0028360	Drosophila melanogaster	6C3-6C3	Cdc7 kinase	""
CG32743	nonC	FBgn0263968	Drosophila melanogaster	6D3-6D4	no-on-and-no-off transient C	""
CG32744	Ubi-p5E	FBgn0086558	Drosophila melanogaster	5E4-5E4	Ubiquitin-5E	""
CG32750	CG32750	FBgn0052750	Drosophila melanogaster	5D8-5D8	""	""
CG32751	CG32751	FBgn0052751	Drosophila melanogaster	5D8-5D8	""	""
CG32754	vanin-like	FBgn0040069	Drosophila melanogaster	5E1-5E1	vanin-like	""
CG32755	CG32755	FBgn0052755	Drosophila melanogaster	5C10-5C10	""	""
CG32756	CG32756	FBgn0052756	Drosophila melanogaster	5C10-5C10	""	""
CG32758	CG32758	FBgn0052758	Drosophila melanogaster	5B2-5B3	""	""
CG32762	CG32762	FBgn0052762	Drosophila melanogaster	5A1-5A2	""	""
CG32763	l(1)G0045	FBgn0026702	Drosophila melanogaster	5A8-5A8	lethal (1) G0045	""
CG32767	CG32767	FBgn0052767	Drosophila melanogaster	4E2-4E2	""	""
CG3277	CG3277	FBgn0031518	Drosophila melanogaster	23E3-23E3	""	""
CG32772	CG32772	FBgn0052772	Drosophila melanogaster	4D5-4D5	""	""
CG32774	Muc4B	FBgn0052774	Drosophila melanogaster	4B4-4B4	Mucin 4B	""
CG32775	GlcAT-I	FBgn0066114	Drosophila melanogaster	4B1-4B1	GlcAT-I	""
CG3278	Tif-IA	FBgn0032988	Drosophila melanogaster	40F6-40F7	Tif-IA	""
CG32783	CG32783	FBgn0052783	Drosophila melanogaster	3F9-3F9	""	""
CG32786	CG32786	FBgn0052786	Drosophila melanogaster	3F8-3F9	""	""
CG32788	Crg-1	FBgn0021738	Drosophila melanogaster	3F1-3F2	Circadianly Regulated Gene	""
CG32789	HIP	FBgn0260484	Drosophila melanogaster	3F2-3F2	Hsc/Hsp70-interacting protein	""
CG3279	Vti1a	FBgn0260862	Drosophila melanogaster	61C8-61C8	Vesicle transport through interaction with t-SNAREs 1a	""
CG32791	DIP-alpha	FBgn0052791	Drosophila melanogaster	3D5-3D5	Dpr-interacting protein alpha	""
CG32792	ppk8	FBgn0052792	Drosophila melanogaster	3D6-3D6	pickpocket 8	""
CG32793	CG32793	FBgn0052793	Drosophila melanogaster	3C3-3C3	""	""
CG32795	CG32795	FBgn0040384	Drosophila melanogaster	3B6-3B6	""	""
CG32796	boi	FBgn0040388	Drosophila melanogaster	3A3-3A3	brother of ihog	""
CG32797	CG32797	FBgn0052797	Drosophila melanogaster	3A2-3A2	""	""
CG32801	CG32801	FBgn0052801	Drosophila melanogaster	2B15-2B15	""	""
CG32803	CG32803	FBgn0052803	Drosophila melanogaster	2B14-2B15	""	""
CG32806	CG32806	FBgn0052806	Drosophila melanogaster	2B9-2B9	""	""
CG32808	CG32808	FBgn0052808	Drosophila melanogaster	2A4-2A4	""	""
CG32809	CG32809	FBgn0023531	Drosophila melanogaster	2B6-2B7	""	""
CG3281	CG3281	FBgn0260741	Drosophila melanogaster	87A3-87A3	""	""
CG32810	inc	FBgn0025394	Drosophila melanogaster	2B1-2B1	insomniac	""
CG32811	CG32811	FBgn0052811	Drosophila melanogaster	1F2-1F2	""	""
CG32812	CG32812	FBgn0025642	Drosophila melanogaster	1F1-1F1	""	""
CG32813	CG32813	FBgn0052813	Drosophila melanogaster	2A1-2A1	""	""
CG32814	CG32814	FBgn0052814	Drosophila melanogaster	1E1-1E1	""	""
CG32815	CG32815	FBgn0052815	Drosophila melanogaster	1D2-1D2	""	""
CG32816	CG32816	FBgn0052816	Drosophila melanogaster	1A2-1A3	""	""
CG32817	CG32817	FBgn0052817	Drosophila melanogaster	1B4-1B4	""	""
CG32819	CG32819	FBgn0052819	Drosophila melanogaster	20A4-20A4	""	""
CG32820	CG32820	FBgn0052820	Drosophila melanogaster	20A4-20A4	""	""
CG32823	Sdic3	FBgn0052823	Drosophila melanogaster	19C1-19C1	Sperm-specific dynein intermediate chain 3	""
CG32825	Or19b	FBgn0062565	Drosophila melanogaster	19B1-19B1	Odorant receptor 19b	""
CG32829	CG32829	FBgn0052829	Drosophila melanogaster	27C4-27C4	""	""
CG3283	SdhB	FBgn0014028	Drosophila melanogaster	42D3-42D4	Succinate dehydrogenase, subunit B (iron-sulfur)	""
CG32832	CG32832	FBgn0052832	Drosophila melanogaster	36B3-36B3	""	""
CG32833	CG32833	FBgn0052833	Drosophila melanogaster	59C1-59C1	""	""
CG32834	CG32834	FBgn0052834	Drosophila melanogaster	59C1-59C1	""	""
CG3284	RpII15	FBgn0004855	Drosophila melanogaster	88B3-88B3	RNA polymerase II 15kD subunit	""
CG32843	Dh31-R	FBgn0052843	Drosophila melanogaster	49F15-50A1	Diuretic hormone 31 Receptor	""
CG32845	CG32845	FBgn0052845	Drosophila melanogaster	61B3-61B3	""	""
CG32846	CG32846	FBgn0052846	Drosophila melanogaster	63A2-63A2	""	""
CG32847	CG32847	FBgn0052847	Drosophila melanogaster	71B5-71B5	""	""
CG32848	VAChT	FBgn0270928	Drosophila melanogaster	91C1-91C3	Vesicular acetylcholine transporter	""
CG32849	Hex-t2	FBgn0042710	Drosophila melanogaster	97B3-97B3	Hex-t2	""
CG3285	CG3285	FBgn0031522	Drosophila melanogaster	23E4-23E4	""	""
CG32850	CG32850	FBgn0052850	Drosophila melanogaster	102B3-102B3	""	""
CG32853	mthl12	FBgn0045442	Drosophila melanogaster	87E7-87E7	methuselah-like 12	""
CG32854	mRpS21	FBgn0044511	Drosophila melanogaster	87E8-87E8	mitochondrial ribosomal protein S21	""
CG32855	CG32855	FBgn0052855	Drosophila melanogaster	89B2-89B2	""	""
CG32856	CG32856	FBgn0052856	Drosophila melanogaster	89A8-89A8	""	""
CG32857	CG32857	FBgn0052857	Drosophila melanogaster	20A4-20A4	""	""
CG32858	sn	FBgn0003447	Drosophila melanogaster	7D1-7D2	singed	""
CG32859	eIF4E-7	FBgn0040368	Drosophila melanogaster	1E3-1E3	eIF4E-7	""
CG3288	CG3288	FBgn0037030	Drosophila melanogaster	77F1-77F1	""	""
CG32885	pgc	FBgn0016053	Drosophila melanogaster	58D3-58D3	polar granule component	""
CG3289	Ptpa	FBgn0016698	Drosophila melanogaster	23F1-23F1	Phosphotyrosyl phosphatase activator	""
CG3290	Alp2	FBgn0283480	Drosophila melanogaster	58D1-58D1	Alkaline phosphatase 2	""
CG32904	seq	FBgn0028991	Drosophila melanogaster	49F4-49F7	sequoia	""
CG3291	pcm	FBgn0020261	Drosophila melanogaster	18C7-18C7	pacman	""
CG3292	CG3292	FBgn0034710	Drosophila melanogaster	58D1-58D1	""	""
CG32939	CG32939	FBgn0052939	Drosophila melanogaster	85E4-85E4	""	""
CG3294	CG3294	FBgn0031628	Drosophila melanogaster	25A6-25A6	""	""
CG32944	CG32944	FBgn0052944	Drosophila melanogaster	82A6-82B1	""	""
CG32945	CG32945	FBgn0052945	Drosophila melanogaster	82C2-82C2	""	""
CG3295	CG3295	FBgn0034573	Drosophila melanogaster	57B9-57B9	""	""
CG3297	mnd	FBgn0002778	Drosophila melanogaster	71A4-71B1	minidiscs	""
CG32971	CG32971	FBgn0052971	Drosophila melanogaster	35A3-35A3	""	""
CG32975	nAChRalpha5	FBgn0028875	Drosophila melanogaster	34F3-34F4	nicotinic Acetylcholine Receptor alpha5	""
CG3298	JhI-1	FBgn0028426	Drosophila melanogaster	47A1-47A1	Juvenile hormone-inducible protein 1	""
CG32982	CG32982	FBgn0052982	Drosophila melanogaster	30A2-30A2	""	""
CG32983	CG32983	FBgn0052983	Drosophila melanogaster	29F3-29F3	""	""
CG32984	CG32984	FBgn0052984	Drosophila melanogaster	29F6-29F6	""	""
CG32985	CG32985	FBgn0052985	Drosophila melanogaster	29F6-29F6	""	""
CG32986	CG32986	FBgn0052986	Drosophila melanogaster	29F3-29F3	""	""
CG32987	CG32987	FBgn0052987	Drosophila melanogaster	29F3-29F3	""	""
CG32988	CG32988	FBgn0052988	Drosophila melanogaster	29F3-29F3	""	""
CG3299	Vinc	FBgn0004397	Drosophila melanogaster	2E2-2E3	Vinculin	""
CG33002	mRpL27	FBgn0053002	Drosophila melanogaster	24F3-24F3	mitochondrial ribosomal protein L27	""
CG33003	CG33003	FBgn0053003	Drosophila melanogaster	24F1-24F1	""	""
CG3301	CG3301	FBgn0038878	Drosophila melanogaster	93D2-93D2	""	""
CG33012	CG33012	FBgn0053012	Drosophila melanogaster	49A1-49A1	""	""
CG33017	CG33017	FBgn0053017	Drosophila melanogaster	53A4-53A4	""	""
CG3302	Crz	FBgn0013767	Drosophila melanogaster	88B3-88B3	Corazonin	""
CG3303	CG3303	FBgn0038381	Drosophila melanogaster	89A8-89A8	""	""
CG33048	Mocs1	FBgn0263241	Drosophila melanogaster	68A4-68A4	Molybdenum cofactor synthesis 1 ortholog	""
CG3305	Lamp1	FBgn0032949	Drosophila melanogaster	39E2-39E2	Lamp1	""
CG33051	CG33051	FBgn0053051	Drosophila melanogaster	74B4-74B4	""	""
CG33052	CG33052	FBgn0053052	Drosophila melanogaster	74B4-74B5	""	""
CG33054	CG33054	FBgn0053054	Drosophila melanogaster	78C2-78C2	""	""
CG33056	CG33056	FBgn0053056	Drosophila melanogaster	78C2-78C2	""	""
CG33057	CG33057	FBgn0053057	Drosophila melanogaster	66C11-66C11	""	""
CG3306	CG3306	FBgn0036016	Drosophila melanogaster	67C2-67C2	""	""
CG33060	CG33060	FBgn0053060	Drosophila melanogaster	72E1-72E1	""	""
CG33061	CG33061	FBgn0053061	Drosophila melanogaster	72E1-72E1	""	""
CG33062	CG33062	FBgn0053062	Drosophila melanogaster	76B3-76B3	""	""
CG3307	Set8	FBgn0011474	Drosophila melanogaster	88B3-88B3	SET domain containing 8	""
CG3308	CG3308	FBgn0038877	Drosophila melanogaster	93D2-93D2	""	""
CG33080	CG33080	FBgn0053080	Drosophila melanogaster	5B1-5B2	""	""
CG33082	CG33082	FBgn0053082	Drosophila melanogaster	1E1-1E1	""	""
CG33083	Gr97a	FBgn0041224	Drosophila melanogaster	97D11-97D11	Gustatory receptor 97a	""
CG33087	LRP1	FBgn0053087	Drosophila melanogaster	44C1-44C2	LDL receptor protein 1	""
CG3309	CG3309	FBgn0029756	Drosophila melanogaster	4F5-4F5	""	""
CG33090	CG33090	FBgn0028916	Drosophila melanogaster	35A4-35A4	""	""
CG33092	P5CDh2	FBgn0053092	Drosophila melanogaster	93F14-93F14	delta-1-Pyrroline-5-carboxylate dehydrogenase 2	""
CG33093	CG33093	FBgn0053093	Drosophila melanogaster	94B2-94B2	""	""
CG33094	Synd	FBgn0053094	Drosophila melanogaster	93A1-93A2	Syndapin	""
CG33095	CG33095	FBgn0053095	Drosophila melanogaster	96B21-96C1	""	""
CG33096	CG33096	FBgn0053096	Drosophila melanogaster	96B21-96B21	""	""
CG33098	CG33098	FBgn0053098	Drosophila melanogaster	87B9-87B9	""	""
CG33099	CG33099	FBgn0053099	Drosophila melanogaster	94B2-94B2	""	""
CG33100	4EHP	FBgn0053100	Drosophila melanogaster	95E1-95E1	eIF4E-Homologous Protein	""
CG33101	Nsf2	FBgn0266464	Drosophila melanogaster	87F15-87F15	N-ethylmaleimide-sensitive factor 2	""
CG33102	Hex-t1	FBgn0042711	Drosophila melanogaster	97B2-97B3	Hex-t1	""
CG33103	Ppn	FBgn0003137	Drosophila melanogaster	98D3-98D4	Papilin	""
CG33104	eca	FBgn0069242	Drosophila melanogaster	85E4-85E4	eclair	""
CG33105	p24-2	FBgn0053105	Drosophila melanogaster	85E4-85E4	p24-related-2	""
CG33106	mask	FBgn0043884	Drosophila melanogaster	95F3-95F5	multiple ankyrin repeats single KH domain	""
CG33107	CG33107	FBgn0053107	Drosophila melanogaster	94B5-94B5	""	""
CG33108	CG33108	FBgn0053108	Drosophila melanogaster	95D5-95D5	""	""
CG33109	CG33109	FBgn0053109	Drosophila melanogaster	88A12-88A12	""	""
CG33110	CG33110	FBgn0053110	Drosophila melanogaster	94B4-94B4	""	""
CG33111	CG33111	FBgn0053111	Drosophila melanogaster	95B7-95C1	""	""
CG33113	Rtnl1	FBgn0053113	Drosophila melanogaster	25B9-25C1	Reticulon-like1	""
CG33114	Gyc32E	FBgn0010197	Drosophila melanogaster	32D5-32D5	Guanyl cyclase at 32E	""
CG33115	NimB4	FBgn0028542	Drosophila melanogaster	34E5-34E5	Nimrod B4	""
CG33116	CG33116	FBgn0053116	Drosophila melanogaster	37F1-37F1	""	""
CG33117	Victoria	FBgn0053117	Drosophila melanogaster	38A7-38A7	Victoria	""
CG33119	NimB1	FBgn0027929	Drosophila melanogaster	34E5-34E5	Nimrod B1	""
CG3312	Rnp4F	FBgn0014024	Drosophila melanogaster	4F5-4F5	RNA-binding protein 4F	""
CG33120	CG33120	FBgn0053120	Drosophila melanogaster	37B1-37B1	""	""
CG33121	Spn28Db	FBgn0053121	Drosophila melanogaster	28D2-28D2	Serpin 28Db	""
CG33122	cutlet	FBgn0015376	Drosophila melanogaster	24C1-24C1	cutlet	""
CG33123	LeuRS	FBgn0053123	Drosophila melanogaster	23F6-23F6	Leucyl-tRNA synthetase	""
CG33124	CG33124	FBgn0053124	Drosophila melanogaster	22D4-22D4	""	""
CG33125	CG33125	FBgn0053125	Drosophila melanogaster	23A2-23A2	""	""
CG33126	NLaz	FBgn0053126	Drosophila melanogaster	22A1-22A1	Neural Lazarillo	""
CG33127	CG33127	FBgn0053127	Drosophila melanogaster	21B8-21B8	""	""
CG33128	CG33128	FBgn0053128	Drosophila melanogaster	22A2-22A2	""	""
CG33129	CG33129	FBgn0053129	Drosophila melanogaster	32C1-32C1	""	""
CG3313	CG3313	FBgn0037980	Drosophila melanogaster	87A5-87A5	""	""
CG33130	Patronin	FBgn0263197	Drosophila melanogaster	54C1-54C3	Patronin	""
CG33131	SCAP	FBgn0033052	Drosophila melanogaster	42A8-42A8	SREBP cleavage activating protein	""
CG33133	grau	FBgn0001133	Drosophila melanogaster	57B9-57B9	grauzone	""
CG33134	Debcl	FBgn0029131	Drosophila melanogaster	42C2-42C2	Death executioner Bcl-2 homologue	""
CG33135	KCNQ	FBgn0033494	Drosophila melanogaster	46F3-46F3	KCNQ potassium channel	""
CG33136	CG33136	FBgn0053136	Drosophila melanogaster	55E6-55E6	""	""
CG33137	CG33137	FBgn0053137	Drosophila melanogaster	49F4-49F4	""	""
CG33138	AGBE	FBgn0053138	Drosophila melanogaster	49F4-49F4	1,4-Alpha-Glucan Branching Enzyme	""
CG33139	Ranbp11	FBgn0053139	Drosophila melanogaster	52B5-52B5	Ranbp11	""
CG3314	RpL7A	FBgn0014026	Drosophila melanogaster	6B1-6B1	Ribosomal protein L7A	""
CG33140	CG33140	FBgn0053140	Drosophila melanogaster	42F3-42F3	""	""
CG33141	sns	FBgn0024189	Drosophila melanogaster	44F1-44F1	sticks and stones	""
CG33143	CG33143	FBgn0053143	Drosophila melanogaster	58F2-58F2	""	""
CG33144	CG33144	FBgn0053144	Drosophila melanogaster	47B9-47B13	""	""
CG33145	GalT1	FBgn0053145	Drosophila melanogaster	48D5-48D5	beta1,3-galactosyltransferase 1	""
CG33147	Hs3st-A	FBgn0053147	Drosophila melanogaster	55E9-55F1	Heparan sulfate 3-O sulfotransferase-A	""
CG3315	TrxT	FBgn0029752	Drosophila melanogaster	4F4-4F4	Thioredoxin T	""
CG33150	Gr59f	FBgn0041234	Drosophila melanogaster	59E3-59E3	Gustatory receptor 59f	""
CG33151	Gr59e	FBgn0041233	Drosophila melanogaster	59E3-59E3	Gustatory receptor 59e	""
CG33152	hbn	FBgn0008636	Drosophila melanogaster	57B5-57B5	homeobrain	""
CG33155	CG33155	FBgn0053155	Drosophila melanogaster	50C16-50C16	""	""
CG33156	CG33156	FBgn0053156	Drosophila melanogaster	50B1-50B1	""	""
CG33158	CG33158	FBgn0053158	Drosophila melanogaster	72F1-73A3	""	""
CG33159	CG33159	FBgn0053159	Drosophila melanogaster	63B12-63B12	""	""
CG33160	CG33160	FBgn0053160	Drosophila melanogaster	63B12-63B12	""	""
CG33162	SrpRbeta	FBgn0011509	Drosophila melanogaster	66D11-66D11	Signal recognition particle receptor beta	""
CG33166	stet	FBgn0020248	Drosophila melanogaster	62A2-62A2	stem cell tumor	""
CG33169	CG33169	FBgn0053169	Drosophila melanogaster	80B1-80B1	""	""
CG33170	CG33170	FBgn0053170	Drosophila melanogaster	80B1-80B1	""	""
CG33172	CG33172	FBgn0053172	Drosophila melanogaster	13E15-13E16	""	""
CG33174	inaE	FBgn0261244	Drosophila melanogaster	12C4-12C5	inactivation no afterpotential E	""
CG33177	CG33177	FBgn0053177	Drosophila melanogaster	13A9-13A9	""	""
CG33178	CG33178	FBgn0053178	Drosophila melanogaster	13A9-13A9	""	""
CG33179	beat-IIIb	FBgn0053179	Drosophila melanogaster	36B6-36B6	beat-IIIb	""
CG3318	Dat	FBgn0019643	Drosophila melanogaster	60B12-60C1	Dopamine N acetyltransferase	""
CG33180	Ranbp16	FBgn0053180	Drosophila melanogaster	14A1-14A1	Ranbp16	""
CG33181	CG33181	FBgn0053181	Drosophila melanogaster	7F1-7F1	""	""
CG33182	Kdm4B	FBgn0053182	Drosophila melanogaster	49F7-49F7	Lysine (K)-specific demethylase 4B	""
CG33183	Hr3	FBgn0000448	Drosophila melanogaster	46F5-46F7	Hormone receptor 3	""
CG33189	CG33189	FBgn0053189	Drosophila melanogaster	85B1-85B1	""	""
CG3319	Cdk7	FBgn0263237	Drosophila melanogaster	4F4-4F4	Cyclin-dependent kinase 7	""
CG33191	CG33191	FBgn0053191	Drosophila melanogaster	85B1-85B1	""	""
CG33192	MtnD	FBgn0053192	Drosophila melanogaster	92F1-92F1	Metallothionein D	""
CG33193	sav	FBgn0053193	Drosophila melanogaster	94D10-94D10	salvador	""
CG33194	CheA29a	FBgn0053194	Drosophila melanogaster	29D1-29D1	Chemosensory protein A 29a	""
CG33196	dpy	FBgn0053196	Drosophila melanogaster	24F4-25A1	dumpy	""
CG33197	mbl	FBgn0265487	Drosophila melanogaster	54B1-54B5	muscleblind	""
CG33198	pen-2	FBgn0053198	Drosophila melanogaster	55C2-55C2	presenilin enhancer	""
CG33199	CG33199	FBgn0053199	Drosophila melanogaster	44F11-44F11	""	""
CG3320	Rab1	FBgn0016700	Drosophila melanogaster	93D2-93D2	Rab1	""
CG33200	VepD	FBgn0053200	Drosophila melanogaster	58D7-58D7	Ventrally-expressed protein D	""
CG33202	dpr11	FBgn0053202	Drosophila melanogaster	83F1-83F4	defective proboscis extension response 11	""
CG33203	CG33203	FBgn0053203	Drosophila melanogaster	98F1-98F1	""	""
CG33206	Gmap	FBgn0027287	Drosophila melanogaster	13C5-13C7	Golgi microtubule-associated protein	""
CG33207	pxb	FBgn0053207	Drosophila melanogaster	89A1-89A2	pxb	""
CG33208	Mical	FBgn0053208	Drosophila melanogaster	85F5-85F7	Molecule interacting with CasL	""
CG3321	ATPsynE	FBgn0038224	Drosophila melanogaster	88B4-88B4	ATP synthase, subunit E	""
CG33213	CG33213	FBgn0053213	Drosophila melanogaster	98B6-98B6	""	""
CG33214	Glg1	FBgn0264561	Drosophila melanogaster	78D4-78D4	Golgi complex-localized glycoprotein 1	""
CG33217	CG33217	FBgn0053217	Drosophila melanogaster	80D2-80D2	""	""
CG3322	LanB2	FBgn0267348	Drosophila melanogaster	67C2-67C2	Laminin B2	""
CG33223	CG33223	FBgn0053223	Drosophila melanogaster	7F1-7F1	""	""
CG33225	CG33225	FBgn0053225	Drosophila melanogaster	57F2-57F2	""	""
CG33226	CG33226	FBgn0069056	Drosophila melanogaster	57E11-57E11	""	""
CG33228	CG33228	FBgn0261373	Drosophila melanogaster	60D13-60D13	""	""
CG33229	CG33229	FBgn0053229	Drosophila melanogaster	61B2-61B2	""	""
CG3323	CG3323	FBgn0029750	Drosophila melanogaster	4F4-4F4	""	""
CG33230	CG33230	FBgn0053230	Drosophila melanogaster	62A8-62A8	""	""
CG33233	CG33233	FBgn0053233	Drosophila melanogaster	62E8-62E8	""	""
CG33234	CG33234	FBgn0053234	Drosophila melanogaster	62E8-62E8	""	""
CG33235	CG33235	FBgn0030307	Drosophila melanogaster	10B17-10C1	""	""
CG33236	Ste:CG33236	FBgn0053236	Drosophila melanogaster	12D4-12D4	Ste:CG33236	""
CG33237	Ste:CG33237	FBgn0053237	Drosophila melanogaster	12D4-12D4	Ste:CG33237	""
CG33238	Ste:CG33238	FBgn0053238	Drosophila melanogaster	12D3-12D4	Ste:CG33238	""
CG33239	Ste:CG33239	FBgn0053239	Drosophila melanogaster	12D3-12D3	Ste:CG33239	""
CG3324	Pkg21D	FBgn0000442	Drosophila melanogaster	21E2-21E2	Protein kinase, cGMP-dependent at 21D	""
CG33240	Ste:CG33240	FBgn0053240	Drosophila melanogaster	12D3-12D3	Ste:CG33240	""
CG33241	Ste:CG33241	FBgn0053241	Drosophila melanogaster	12D3-12D3	Ste:CG33241	""
CG33242	Ste:CG33242	FBgn0053242	Drosophila melanogaster	12D3-12D3	Ste:CG33242	""
